company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap,revenue_bin,employees_bin,Cluster,PCA1,PCA2
Walmart,1,0.0,0.32605602798547,0.22220230356718892,0.25450026173024787,16,Bentonville,1,0,0,0,1,1.0,C. Douglas McMillon,https://www.stock.walmart.com,WMT,352037.0,High,Large,1,3.60764106278641,0.03179124626564626
Amazon,2,0.0,0.32605602798547,0.22220230356718892,0.25450026173024787,16,Seattle,44,0,0,0,1,2.0,Andrew R. Jassy,www.amazon.com,AMZN,1202717.0,High,Large,1,3.60764106278641,0.03179124626564626
Apple,3,0.0,0.32605602798547,0.22220230356718892,0.25450026173024787,17,Cupertino,3,0,0,0,1,3.0,Timothy D. Cook,www.apple.com,AAPL,2443962.0,High,Large,1,3.60764106278641,0.03179124626564626
CVS Health,4,0.0,0.32605602798547,0.22220230356718892,0.25450026173024787,9,Woonsocket,37,0,0,1,1,4.0,Karen Lynch,https://www.cvshealth.com,CVS,125204.0,High,Large,1,3.60764106278641,0.03179124626564626
UnitedHealth Group,5,0.0,0.32605602798547,0.22220230356718892,0.25450026173024787,9,Minnetonka,22,0,0,0,1,5.0,Andrew P. Witty,www.unitedhealthgroup.com,UNH,500468.0,High,Large,1,3.60764106278641,0.03179124626564626
Exxon Mobil,6,4.0,0.32605602798547,0.22220230356718892,0.25450026173024787,4,Irving,40,0,0,0,1,10.0,Darren W. Woods,www.exxonmobil.com,XOM,371841.0,High,Large,1,3.60764106278641,0.03179124626564626
Berkshire Hathaway,7,-1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,6,Omaha,27,0,0,0,1,6.0,Warren E. Buffett,www.berkshirehathaway.com,BRKA,625468.0,High,Large,1,3.60764106278641,0.03179124626564626
Alphabet,8,1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,17,Mountain View,3,0,0,0,1,9.0,Sundar Pichai,https://www.abc.xyz,GOOGL,1309359.0,High,Large,1,3.60764106278641,0.03179124626564626
McKesson,9,-2.0,0.32605602798547,-0.589781221867123,0.25450026173024787,9,Irving,40,0,0,0,0,7.0,Brian S. Tyler,www.mckesson.com,MCK,47377.0,High,Large,1,1.2012644152073588,3.0222445878239936
AmerisourceBergen,10,-2.0,0.32605602798547,-0.07581010879647673,0.0404925538353802,9,Conshohocken,35,0,0,0,1,8.0,Steven H. Collis,www.amerisourcebergen.com,ABC,29972.0,High,Medium,1,2.1110466671145516,0.3197531517687724
Costco Wholesale,11,1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,16,Issaquah,44,0,0,0,1,12.0,W. Craig Jelinek,www.costco.com,COST,230443.0,High,Large,1,3.60764106278641,0.03179124626564626
Cigna,12,1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,9,Bloomfield,5,0,0,0,1,13.0,David Cordani,https://www.cigna.com,CI,88459.0,High,Large,1,3.60764106278641,0.03179124626564626
AT&T,13,-2.0,0.32605602798547,0.22220230356718892,0.25450026173024787,18,Dallas,40,0,0,0,1,11.0,John T. Stankey,www.att.com,T,148907.0,High,Large,1,3.60764106278641,0.03179124626564626
Microsoft,14,1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,17,Redmond,44,0,0,0,1,15.0,Satya Nadella,www.microsoft.com,MSFT,1941033.0,High,Large,1,3.60764106278641,0.03179124626564626
Cardinal Health,15,-1.0,0.32605602798547,-0.22053562433411056,0.10579001179284442,9,Dublin,32,0,0,0,1,14.0,Jason Hollar,www.cardinalhealth.com,CAH,15169.0,High,Large,1,1.8693037052738133,1.0997818473688912
Chevron,16,11.0,0.32605602798547,0.22220230356718892,0.06531266565603637,4,San Ramon,3,0,0,0,1,27.0,Michael K. Wirth,www.chevron.com,CVX,284132.0,High,Large,1,3.0653717510175995,-0.6839023896946732
Home Depot,17,1.0,0.32605602798547,0.22220230356718892,0.25450026173024787,16,Atlanta,9,0,0,0,1,18.0,Edward P. Decker,www.homedepot.com,HD,308152.0,High,Large,1,3.60764106278641,0.03179124626564626
Walgreens Boots Alliance,18,-2.0,0.32605602798547,0.0803201949178766,0.25450026173024787,7,Deerfield,13,0,0,1,1,16.0,Roz Brewer,www.walgreensbootsalliance.com,WBA,33360.0,High,Large,1,3.187162343368599,0.5543287271717229
Marathon Petroleum,19,13.0,0.32605602798547,0.22220230356718892,-0.17279780978721418,4,Findlay,32,0,0,0,1,32.0,Michael J. Hennigan,www.marathonpetroleum.com,MPC,47526.0,High,Small,1,2.382874556048715,-1.5846704921836599
Elevance Health,20,3.0,0.32605602798547,0.22220230356718892,0.25450026173024787,9,Indianapolis,14,0,0,1,1,23.0,Gail K. Boudreaux,www.elevancehealth.com,ELV,119923.0,High,Large,1,3.60764106278641,0.03179124626564626
Kroger,21,-4.0,0.32605602798547,-0.05787717001040543,0.25450026173024787,7,Cincinnati,32,0,0,0,1,17.0,W. Rodney McMullen,www.thekrogerco.com,KR,33846.0,High,Large,1,2.777603649991782,1.0632956689865691
