company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap,revenue_bin,employees_bin,Cluster,PCA1,PCA2
Walmart,1,0.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Bentonville,1,0,0,0,1,1.0,C. Douglas McMillon,https://www.stock.walmart.com,WMT,352037.0,High,Large,3,3.6061370320188213,0.030614451446628638
Amazon,2,0.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Seattle,33,0,0,0,1,2.0,Andrew R. Jassy,www.amazon.com,AMZN,1202717.0,High,Large,3,3.6061370320188213,0.030614451446628638
Apple,3,0.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Cupertino,16,0,0,0,1,3.0,Timothy D. Cook,www.apple.com,AAPL,2443962.0,High,Large,3,3.6061370320188213,0.030614451446628638
CVS Health,4,0.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,Woonsocket,25,0,0,1,1,4.0,Karen Lynch,https://www.cvshealth.com,CVS,125204.0,High,Large,3,3.6061370320188213,0.030614451446628638
UnitedHealth Group,5,0.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,Minnetonka,7,0,0,0,1,5.0,Andrew P. Witty,www.unitedhealthgroup.com,UNH,500468.0,High,Large,3,3.6061370320188213,0.030614451446628638
Exxon Mobil,6,4.0,2.1622994061917042,2.033566342283304,2.050431180543794,7,Irving,29,0,0,0,1,10.0,Darren W. Woods,www.exxonmobil.com,XOM,371841.0,High,Large,3,3.6061370320188213,0.030614451446628638
Berkshire Hathaway,7,-1.0,2.1622994061917042,2.033566342283304,2.050431180543794,9,Omaha,13,0,0,0,1,6.0,Warren E. Buffett,www.berkshirehathaway.com,BRKA,625468.0,High,Large,3,3.6061370320188213,0.030614451446628638
Alphabet,8,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Mountain View,16,0,0,0,1,9.0,Sundar Pichai,https://www.abc.xyz,GOOGL,1309359.0,High,Large,3,3.6061370320188213,0.030614451446628638
McKesson,9,-2.0,2.1622994061917042,-2.2934210820289826,2.050431180543794,13,Irving,29,0,0,0,0,7.0,Brian S. Tyler,www.mckesson.com,MCK,47377.0,High,Large,2,1.2063689879468662,3.017132826462431
AmerisourceBergen,10,-2.0,2.1622994061917042,0.4454849093541985,0.9311435274846471,13,Conshohocken,22,0,0,0,1,8.0,Steven H. Collis,www.amerisourcebergen.com,ABC,29972.0,High,Medium,3,2.1114626236417786,0.31717268688484335
Costco Wholesale,11,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Issaquah,33,0,0,0,1,12.0,W. Craig Jelinek,www.costco.com,COST,230443.0,High,Large,3,3.6061370320188213,0.030614451446628638
Cigna,12,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,Bloomfield,36,0,0,0,1,13.0,David Cordani,https://www.cigna.com,CI,88459.0,High,Large,3,3.6061370320188213,0.030614451446628638
AT&T,13,-2.0,2.1622994061917042,2.033566342283304,2.050431180543794,2,Dallas,29,0,0,0,1,11.0,John T. Stankey,www.att.com,T,148907.0,High,Large,3,3.6061370320188213,0.030614451446628638
Microsoft,14,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Redmond,33,0,0,0,1,15.0,Satya Nadella,www.microsoft.com,MSFT,1941033.0,High,Large,3,3.6061370320188213,0.030614451446628638
Cardinal Health,15,-1.0,2.1622994061917042,-0.32574439037020164,1.2726575747443027,13,Dublin,19,0,0,0,1,14.0,Jason Hollar,www.cardinalhealth.com,CAH,15169.0,High,Large,2,1.8710517926315184,1.0964876585789323
Chevron,16,11.0,2.1622994061917042,2.033566342283304,1.0609558832249146,7,San Ramon,16,0,0,0,1,27.0,Michael K. Wirth,www.chevron.com,CVX,284132.0,High,Large,3,3.0634208576789375,-0.6850433526799902
Home Depot,17,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Atlanta,40,0,0,0,1,18.0,Edward P. Decker,www.homedepot.com,HD,308152.0,High,Large,3,3.6061370320188213,0.030614451446628638
Walgreens Boots Alliance,18,-2.0,2.1622994061917042,1.2774893029959482,2.050431180543794,10,Deerfield,41,0,0,1,1,16.0,Roz Brewer,www.walgreensbootsalliance.com,WBA,33360.0,High,Large,3,3.1868130682967157,0.5524643551629805
Marathon Petroleum,19,13.0,2.1622994061917042,2.033566342283304,-0.18439232338547462,7,Findlay,19,0,0,0,1,32.0,Michael J. Hennigan,www.marathonpetroleum.com,MPC,47526.0,High,Small,1,2.380361243917996,-1.5857663574187248
Elevance Health,20,3.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,Indianapolis,42,0,0,1,1,23.0,Gail K. Boudreaux,www.elevancehealth.com,ELV,119923.0,High,Large,3,3.6061370320188213,0.030614451446628638
Kroger,21,-4.0,2.1622994061917042,0.5410479327133096,2.050431180543794,10,Cincinnati,19,0,0,0,1,17.0,W. Rodney McMullen,www.thekrogerco.com,KR,33846.0,High,Large,3,2.778379141078237,1.0607615764844591
Ford Motor,22,-1.0,2.1622994061917042,2.033566342283304,2.050431180543794,18,Dearborn,6,0,0,0,1,21.0,James D. Farley Jr.,www.ford.com,F,50609.0,High,Large,3,3.6061370320188213,0.030614451446628638
Verizon Communications,23,-3.0,2.1622994061917042,2.033566342283304,2.050431180543794,2,New York,18,0,0,0,1,20.0,Hans E. Vestberg,www.verizon.com,VZ,211872.0,High,Large,3,3.6061370320188213,0.030614451446628638
JPMorgan Chase,24,-5.0,2.1622994061917042,2.033566342283304,2.050431180543794,9,New York,18,0,0,0,1,19.0,James Dimon,www.jpmorganchase.com,JPM,336469.0,High,Large,3,3.6061370320188213,0.030614451446628638
General Motors,25,-3.0,2.1622994061917042,2.033566342283304,2.050431180543794,18,Detroit,6,0,0,1,1,22.0,Mary T. Barra,www.gm.com,GM,50156.0,High,Large,3,3.6061370320188213,0.030614451446628638
Centene,26,-2.0,2.1622994061917042,0.2853275921867566,2.050431180543794,13,St. Louis,8,0,0,1,1,24.0,Sarah M. London,www.centene.com,CNC,53429.0,High,Large,3,2.6365554098682127,1.237261626278163
Meta Platforms,27,7.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Menlo Park,16,0,1,0,1,34.0,Mark Zuckerberg,https://investor.fb.com,META,475718.0,High,Large,3,3.6061370320188213,0.030614451446628638
Comcast,28,-2.0,2.1622994061917042,2.033566342283304,2.050431180543794,2,Philadelphia,22,0,0,0,1,26.0,Brian L. Roberts,www.comcastcorporation.com,CMCSA,185069.0,High,Large,3,3.6061370320188213,0.030614451446628638
Phillips 66,29,19.0,2.1622994061917042,0.26041976681079354,-0.3694812313773782,7,Houston,29,0,0,0,1,48.0,Mark E. Lashier,www.phillips66.com,PSX,41091.0,High,Small,1,1.2954464184829202,-0.4957968748703427
Valero Energy,30,23.0,2.1622994061917042,-0.06089118053912872,-0.5793820578460342,7,San Antonio,29,0,0,0,1,53.0,Joseph W. Gorder,www.valero.com,VLO,44376.0,High,Small,1,1.002117556867217,-0.42584068040651296
Dell Technologies,31,-3.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Round Rock,29,0,1,0,1,28.0,Michael S. Dell,www.delltechnologies.com,DELL,32568.0,High,Large,3,3.6061370320188213,0.030614451446628638
Target,32,-2.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Minneapolis,7,0,0,0,1,30.0,Brian C. Cornell,www.target.com,TGT,71112.0,High,Large,3,3.6061370320188213,0.030614451446628638
Fannie Mae,33,-8.0,2.1622994061917042,2.033566342283304,-0.6996398240115846,9,Washington,37,0,0,0,1,25.0,David C. Benson,www.fanniemae.com,FNMA,3961.0,High,Small,1,2.0977537314963173,-1.9584294202349115
United Parcel Service,34,1.0,2.1622994061917042,2.033566342283304,2.050431180543794,3,Atlanta,40,0,0,1,1,35.0,Carol B. Tomé,www.ups.com,UPS,162355.0,High,Large,3,3.6061370320188213,0.030614451446628638
Lowe's,35,-4.0,2.1622994061917042,2.033566342283304,2.050431180543794,19,Mooresville,10,0,0,0,1,31.0,Marvin R. Ellison,www.lowes.com,LOW,120655.0,High,Large,3,3.6061370320188213,0.030614451446628638
Bank of America,36,-7.0,2.1622994061917042,2.033566342283304,2.050431180543794,9,Charlotte,10,0,0,0,1,29.0,Brian T. Moynihan,www.bankofamerica.com,BAC,268697.0,High,Large,3,3.6061370320188213,0.030614451446628638
Johnson & Johnson,37,-1.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,New Brunswick,15,0,0,0,1,36.0,Joaquin Duato,www.jnj.com,JNJ,451785.0,High,Large,3,3.6061370320188213,0.030614451446628638
Archer Daniels Midland,38,13.0,2.1622994061917042,1.416142864255475,0.9300930228717202,11,Chicago,41,0,0,0,1,51.0,Juan R. Luciano,www.adm.com,ADM,41545.0,High,Medium,3,2.649218005508297,-0.35354233306618177
FedEx,39,6.0,2.1622994061917042,2.033566342283304,2.050431180543794,3,Memphis,27,0,1,0,1,45.0,Rajesh Subramaniam,www.fedex.com,FDX,58577.0,High,Large,3,3.6061370320188213,0.030614451446628638
Humana,40,1.0,2.1622994061917042,1.602121293729332,2.050431180543794,13,Louisville,44,0,0,0,1,41.0,Bruce D. Broussard,www.humana.com,HUM,62653.0,High,Large,3,3.366855532267883,0.32840098026253206
Wells Fargo,41,-4.0,2.1622994061917042,2.033566342283304,2.050431180543794,9,San Francisco,16,0,0,0,1,37.0,Charles W. Scharf,www.wellsfargo.com,WFC,162606.0,High,Large,3,3.6061370320188213,0.030614451446628638
State Farm Insurance,42,-3.0,2.1622994061917042,0.23044735027505153,1.6107699880192423,9,Bloomington,41,0,0,0,1,39.0,Michael L. Tipsord,www.statefarm.com,Unknown,11641.6,High,Large,3,2.364969298931586,0.9571466174207919
Pfizer,43,34.0,2.1622994061917042,2.033566342283304,2.050431180543794,13,New York,18,0,0,0,1,77.0,Albert Bourla,www.pfizer.com,PFE,288232.0,High,Large,3,3.6061370320188213,0.030614451446628638
Citigroup,44,-11.0,2.1622994061917042,2.033566342283304,2.050431180543794,9,New York,18,0,0,1,1,33.0,Jane Fraser,www.citigroup.com,C,100976.0,High,Large,3,3.6061370320188213,0.030614451446628638
PepsiCo,45,-1.0,2.1622994061917042,2.033566342283304,2.050431180543794,11,Purchase,18,0,0,0,1,44.0,Ramon L. Laguarta,www.pepsico.com,PEP,234697.0,High,Large,3,3.6061370320188213,0.030614451446628638
Intel,46,-6.0,2.1622994061917042,2.033566342283304,2.050431180543794,20,Santa Clara,16,0,0,0,1,40.0,Patrick P. Gelsinger,www.intel.com,INTC,164460.0,High,Large,3,3.6061370320188213,0.030614451446628638
Procter & Gamble,47,-4.0,2.1622994061917042,2.033566342283304,2.050431180543794,14,Cincinnati,19,0,0,0,1,43.0,Jon R. Moeller,www.pg.com,PG,345595.0,High,Large,3,3.6061370320188213,0.030614451446628638
